platform,rgt,laser,year,month,day,centroid_lon,centroid_lat,total_width,non-iceberg_width,comment,azimuth
WV,283,1l,2017,4,2,-25.1039,-75.4385,43.5,43.5,-,-171.1
WV,283,1l,2017,11,17,-25.1039,-75.4385,142.6,142.6,-,-171.1
WV,283,1l,2017,11,21,-25.1039,-75.4385,139.5,139.5,-,-171.1
WV,283,1l,2019,1,8,-25.1039,-75.4385,412.3,412.3,-,-171.1
WV,283,1l,2019,4,12,-25.1039,-75.4385,489.1,489.1,-,-171.1
WV,283,1l,2019,9,17,-25.1039,-75.4385,460.9,460.9,-,-171.1
WV,283,1l,2019,11,2,-25.1039,-75.4385,467.8,467.8,-,-171.1
WV,283,1l,2019,12,12,-25.1039,-75.4385,489.2,489.2,-,-171.1
WV,283,1l,2020,3,18,-25.1039,-75.4385,534.8,534.8,-,-171.1
WV,283,1l,2020,3,22,-25.1039,-75.4385,539.3,539.3,-,-171.1
WV,283,1l,2020,10,30,-25.1039,-75.4385,620.6,620.6,-,-171.1
WV,283,1l,2020,11,29,-25.1039,-75.4385,631.9,631.9,-,-171.1
WV,283,1l,2021,1,19,-25.1039,-75.4385,652.4,652.4,-,-171.1
WV,283,1l,2021,9,7,-25.1039,-75.4385,682.8,682.8,-,-171.1
WV,283,1r,2017,4,2,-25.1006,-75.4386,41.7,41.7,-,-171.1
WV,283,1r,2017,11,17,-25.1006,-75.4386,148.2,148.2,-,-171.1
WV,283,1r,2017,11,21,-25.1006,-75.4386,154.2,154.2,-,-171.1
WV,283,1r,2019,1,8,-25.1006,-75.4386,429.8,429.8,-,-171.1
WV,283,1r,2019,4,12,-25.1006,-75.4386,466.6,466.6,-,-171.1
WV,283,1r,2019,9,17,-25.1006,-75.4386,448.3,448.3,-,-171.1
WV,283,1r,2019,11,2,-25.1006,-75.4386,474.2,474.2,-,-171.1
WV,283,1r,2019,12,12,-25.1006,-75.4386,482.6,482.6,-,-171.1
WV,283,1r,2020,3,18,-25.1006,-75.4386,561.3,561.3,-,-171.1
WV,283,1r,2020,3,22,-25.1006,-75.4386,560.5,560.5,-,-171.1
WV,283,1r,2020,10,30,-25.1006,-75.4386,619.5,619.5,-,-171.1
WV,283,1r,2020,11,29,-25.1006,-75.4386,624.9,624.9,-,-171.1
WV,283,1r,2021,1,19,-25.1006,-75.4386,707.2,707.2,-,-171.1
WV,283,1r,2021,9,7,-25.1006,-75.4386,694.0,694.0,-,-171.1
L8,283,1l,2017,11,12,-25.1039,-75.4385,123.0,123.0,-,-171.1
L8,283,1l,2017,12,21,-25.1039,-75.4385,172.0,172.0,-,-171.1
L8,283,1l,2017,12,30,-25.1039,-75.4385,171.0,171.0,-,-171.1
L8,283,1l,2018,1,8,-25.1039,-75.4385,174.0,174.0,-,-171.1
L8,283,1l,2018,2,14,-25.1039,-75.4385,207.0,207.0,-,-171.1
L8,283,1l,2018,3,11,-25.1039,-75.4385,193.0,193.0,-,-171.1
L8,283,1l,2018,9,28,-25.1039,-75.4385,272.0,272.0,-,-171.1
L8,283,1l,2018,10,5,-25.1039,-75.4385,288.0,288.0,-,-171.1
L8,283,1l,2018,10,12,-25.1039,-75.4385,305.0,305.0,-,-171.1
L8,283,1l,2018,10,14,-25.1039,-75.4385,303.0,303.0,-,-171.1
L8,283,1l,2018,10,21,-25.1039,-75.4385,316.0,316.0,-,-171.1
L8,283,1l,2018,11,29,-25.1039,-75.4385,335.0,335.0,-,-171.1
L8,283,1l,2019,1,18,-25.1039,-75.4385,414.0,414.0,-,-171.1
L8,283,1l,2019,2,19,-25.1039,-75.4385,485.0,485.0,-,-171.1
L8,283,1l,2019,3,23,-25.1039,-75.4385,465.0,465.0,-,-171.1
L8,283,1l,2019,10,1,-25.1039,-75.4385,452.0,452.0,-,-171.1
L8,283,1l,2019,10,17,-25.1039,-75.4385,459.0,459.0,-,-171.1
L8,283,1l,2019,10,31,-25.1039,-75.4385,438.0,438.0,-,-171.1
L8,283,1l,2019,11,2,-25.1039,-75.4385,472.0,472.0,-,-171.1
L8,283,1l,2019,12,2,-25.1039,-75.4385,479.0,479.0,-,-171.1
L8,283,1l,2019,12,27,-25.1039,-75.4385,478.0,478.0,-,-171.1
L8,283,1l,2020,1,28,-25.1039,-75.4385,490.0,490.0,-,-171.1
L8,283,1l,2020,2,20,-25.1039,-75.4385,506.0,506.0,-,-171.1
L8,283,1l,2020,2,22,-25.1039,-75.4385,513.0,513.0,-,-171.1
L8,283,1l,2020,9,24,-25.1039,-75.4385,586.0,586.0,-,-171.1
L8,283,1l,2020,10,1,-25.1039,-75.4385,597.0,597.0,-,-171.1
L8,283,1l,2020,10,10,-25.1039,-75.4385,604.0,604.0,-,-171.1
L8,283,1l,2020,10,19,-25.1039,-75.4385,605.0,605.0,-,-171.1
L8,283,1l,2020,11,18,-25.1039,-75.4385,621.0,621.0,-,-171.1
L8,283,1l,2020,12,22,-25.1039,-75.4385,633.0,633.0,-,-171.1
L8,283,1l,2021,1,7,-25.1039,-75.4385,641.0,641.0,-,-171.1
L8,283,1l,2021,2,6,-25.1039,-75.4385,653.0,653.0,-,-171.1
L8,283,1l,2021,9,20,-25.1039,-75.4385,693.0,693.0,-,-171.1
L8,283,1l,2021,10,6,-25.1039,-75.4385,682.0,682.0,-,-171.1
L8,283,1l,2021,10,20,-25.1039,-75.4385,673.0,673.0,-,-171.1
L8,283,1l,2021,11,5,-25.1039,-75.4385,685.0,685.0,-,-171.1
L8,283,1l,2021,11,7,-25.1039,-75.4385,670.0,670.0,-,-171.1
L8,283,1l,2021,12,5,-25.1039,-75.4385,693.0,693.0,-,-171.1
L8,283,1l,2021,12,25,-25.1039,-75.4385,694.0,694.0,-,-171.1
L8,283,1r,2017,11,12,-25.1006,-75.4386,138.0,138.0,-,-171.1
L8,283,1r,2017,12,21,-25.1006,-75.4386,166.0,166.0,-,-171.1
L8,283,1r,2017,12,30,-25.1006,-75.4386,175.0,175.0,-,-171.1
L8,283,1r,2018,1,8,-25.1006,-75.4386,193.0,193.0,-,-171.1
L8,283,1r,2018,2,14,-25.1006,-75.4386,189.0,189.0,-,-171.1
L8,283,1r,2018,3,11,-25.1006,-75.4386,203.0,203.0,-,-171.1
L8,283,1r,2018,9,28,-25.1006,-75.4386,279.0,279.0,-,-171.1
L8,283,1r,2018,10,5,-25.1006,-75.4386,289.0,289.0,-,-171.1
L8,283,1r,2018,10,12,-25.1006,-75.4386,318.0,318.0,-,-171.1
L8,283,1r,2018,10,14,-25.1006,-75.4386,313.0,313.0,-,-171.1
L8,283,1r,2018,10,21,-25.1006,-75.4386,331.0,331.0,-,-171.1
L8,283,1r,2018,11,29,-25.1006,-75.4386,332.0,332.0,-,-171.1
L8,283,1r,2019,1,18,-25.1006,-75.4386,443.0,443.0,-,-171.1
L8,283,1r,2019,2,19,-25.1006,-75.4386,475.0,475.0,-,-171.1
L8,283,1r,2019,3,23,-25.1006,-75.4386,481.0,481.0,-,-171.1
L8,283,1r,2019,10,1,-25.1006,-75.4386,439.0,439.0,-,-171.1
L8,283,1r,2019,10,17,-25.1006,-75.4386,452.0,452.0,-,-171.1
L8,283,1r,2019,10,31,-25.1006,-75.4386,444.0,444.0,-,-171.1
L8,283,1r,2019,11,2,-25.1006,-75.4386,464.0,464.0,-,-171.1
L8,283,1r,2019,12,2,-25.1006,-75.4386,481.0,481.0,-,-171.1
L8,283,1r,2019,12,27,-25.1006,-75.4386,481.0,481.0,-,-171.1
L8,283,1r,2020,1,28,-25.1006,-75.4386,510.0,510.0,-,-171.1
L8,283,1r,2020,2,20,-25.1006,-75.4386,507.0,507.0,-,-171.1
L8,283,1r,2020,2,22,-25.1006,-75.4386,527.0,527.0,-,-171.1
L8,283,1r,2020,9,24,-25.1006,-75.4386,565.0,565.0,-,-171.1
L8,283,1r,2020,10,1,-25.1006,-75.4386,574.0,574.0,-,-171.1
L8,283,1r,2020,10,10,-25.1006,-75.4386,585.0,585.0,-,-171.1
L8,283,1r,2020,10,19,-25.1006,-75.4386,592.0,592.0,-,-171.1
L8,283,1r,2020,11,18,-25.1006,-75.4386,569.0,569.0,-,-171.1
L8,283,1r,2020,12,22,-25.1006,-75.4386,651.0,651.0,-,-171.1
L8,283,1r,2021,1,7,-25.1006,-75.4386,667.0,667.0,-,-171.1
L8,283,1r,2021,2,6,-25.1006,-75.4386,714.0,714.0,-,-171.1
L8,283,1r,2021,9,20,-25.1006,-75.4386,643.0,643.0,-,-171.1
L8,283,1r,2021,10,6,-25.1006,-75.4386,671.0,671.0,-,-171.1
L8,283,1r,2021,10,20,-25.1006,-75.4386,682.0,682.0,-,-171.1
L8,283,1r,2021,11,5,-25.1006,-75.4386,689.0,689.0,-,-171.1
L8,283,1r,2021,11,7,-25.1006,-75.4386,686.0,686.0,-,-171.1
L8,283,1r,2021,12,5,-25.1006,-75.4386,678.0,678.0,-,-171.1
L8,283,1r,2021,12,25,-25.1006,-75.4386,668.0,668.0,-,-171.1
L8,283,1l,2021,1,12,-25.1039,-75.4385,635.0,635.0,-,-171.1
L8,283,1l,2021,1,19,-25.1039,-75.4385,640.0,640.0,-,-171.1
L8,283,1l,2021,3,17,-25.1039,-75.4385,761.0,761.0,-,-171.1
L8,283,1l,2021,3,24,-25.1039,-75.4385,770.0,770.0,-,-171.1
L8,283,1l,2021,4,2,-25.1039,-75.4385,760.0,760.0,-,-171.1
L8,283,1l,2021,4,4,-25.1039,-75.4385,760.0,760.0,-,-171.1
L8,283,1l,2021,9,25,-25.1039,-75.4385,679.0,679.0,-,-171.1
L8,283,1l,2021,10,2,-25.1039,-75.4385,687.0,687.0,-,-171.1
L8,283,1l,2021,12,31,-25.1039,-75.4385,697.0,697.0,-,-171.1
L8,283,1r,2021,1,12,-25.1006,-75.4386,684.0,684.0,-,-171.1
L8,283,1r,2021,1,19,-25.1006,-75.4386,674.0,674.0,-,-171.1
L8,283,1r,2021,3,17,-25.1006,-75.4386,775.0,775.0,-,-171.1
L8,283,1r,2021,3,24,-25.1006,-75.4386,801.0,801.0,-,-171.1
L8,283,1r,2021,4,2,-25.1006,-75.4386,793.0,793.0,-,-171.1
L8,283,1r,2021,4,4,-25.1006,-75.4386,795.0,795.0,-,-171.1
L8,283,1r,2021,9,25,-25.1006,-75.4386,657.0,657.0,-,-171.1
L8,283,1r,2021,10,2,-25.1006,-75.4386,663.0,663.0,-,-171.1
L8,283,1r,2021,12,31,-25.1006,-75.4386,652.0,652.0,-,-171.1
WV,283,1l,2022,1,7,-25.1039,-75.4385,691.7,691.7,-,-171.1
WV,283,1r,2022,1,7,-25.1006,-75.4386,668.5,668.5,-,-171.1
WV,283,1l,2022,2,15,-25.1039,-75.4385,677.2,677.2,-,-171.1
WV,283,1r,2022,2,15,-25.1006,-75.4386,682.9,682.9,-,-171.1
